id,i_dialog,i_utterance,speaker,utterance
475,59,2,Phoebe,"Well, I snuck over there and-and raked up all the leaves on his front stoop."
476,59,3,Phoebe,But he caught me and force-fed me cider and cookies.
477,59,4,Phoebe,Then I felt wonderful.
478,59,5,Phoebe,That old jackass!
479,59,6,Rachel,Maybe Joey's right. Maybe all good deeds are selfish.
480,59,7,Chandler,"I'm sorry but, ow-owww-owww!"
481,59,8,Monica,You've been lying to me? I can't believe you'd do that.
482,59,9,Ross,"Well, maybe he just didn't want to hurt your feelings."
483,59,10,Monica,But the minute we start to lie to each other?  And by 'we' I mean society.
484,60,0,Ross,"There you go! Good enough for your party, huh?"
485,60,1,Rachel,Sure.
486,60,2,Ross,Yep?
487,60,3,Rachel,"Sure, I?ll just sit next to the trans-sexual from purchasing."
488,60,4,Ross,"Okay, come on! All right, I gotta go! So good luck at the party. Okay?"
489,60,5,Rachel,"Oh wait, Ross, would you just stay and help me get dressed?"
490,60,6,Ross,"Sure, okay."
491,60,7,Rachel,"Okay. Okay, great! Umm, okay, just turn around."
492,60,8,Ross,What?
493,60,9,Rachel,I don?t want you to see me naked!
494,60,10,Ross,"Rachel, I?ve seen you naked a million times."
495,60,11,Ross,I ate hot fudge off you naked.
496,60,12,Ross,"Remember, I-I sucked that mini-marshmallow out of your belly button?"
497,60,13,Phoebe,Nah-ha!
498,61,0,Joey,Here it is! Our last pizzas together as roommates.
499,61,1,Chandler,"Oh, I wish I?d know you were going to do that, I ordered Chinese."
500,61,2,Joey,Oh that?s okay.
501,61,3,Joey,"Hey, actually in a way it?s kinda nice."
502,61,4,Joey,"Me, bringing the food of my ancestors, you, the food of yours!"
503,61,5,Chandler,"Say, Joe, I had a strange idea of what we could do for our last night."
504,61,6,Chandler,"What do you say we play a little uh, foosball for money?"
505,61,7,Joey,"What, are you crazy?"
506,61,8,Joey,You haven?t beaten me once since my injury plagued ?97 season.
507,61,9,Joey,It would be easier if you just give me your money.
508,61,10,Chandler,Yes it would. What do you say to $50?
509,61,11,Joey,"Okay, you?re on."
510,61,12,Chandler,"Okay, let?s play! The big game, Italy vs. China, apparently."
511,62,0,Chandler,"It?s not a big deal. It?s, just it?s right here,  and it?s all the time."
512,62,1,Joanna,"Well, thanks again for lunch."
513,62,2,Chandler,"Yes, this, this was pleasant."
514,62,3,Monica,"No honey, I?m sorry, but the weekend?s not over yet."
515,62,4,Rachel,"Oh.  Oh my God, is that Phoebe?"
516,62,5,Monica,I guess they?re back from their date.
517,62,6,Rachel,Music. Very nice.
518,62,7,Monica,Oh my God!
519,62,8,Rachel,"So, how are you?"
520,62,9,Monica,I am good. I finished my book.
521,62,10,Rachel,"Oh yeah, what?s it about?"
522,62,11,Monica,I don?t remember. Do you wanna take a walk?
523,62,12,Rachel,"Yeah, I do."
524,63,0,Joey,"Okay, now the Mastodon is from the semi-late Jurassic period."
525,63,1,Smart Kid,Isn?t the Mastodon from the Pliocene Epic?
526,63,2,Joey,Shhh!
527,63,3,Joey,"This is a museum, no talking."
528,63,4,Joey,"Right down here,  we have a large foot."
529,63,5,Joey,"Uhh, and over here we have Ross Geller."
530,63,6,Joey,Everyone wave ?Hi? to Ross.
531,63,7,Joey,"Ross is one of our most important scientists, look at him, hard at work."
532,63,8,Joey,"Okay, moving right along."
533,63,9,Joey,Come on.
534,64,0,Chandler,I can't believe it! We're here!
535,64,1,Monica,"Ooh, chocolates on the pillows! I love that!"
536,64,2,Chandler,"Oh, you should live with Joey,"
537,64,3,Monica,"Come here.  Okay, be right back."
538,64,4,Chandler,"Oh yes! Monica, get in here! There's a high-speed car chase on!"
539,64,5,Monica,We're switching rooms.
540,64,6,Chandler,"Oh dear God, they gave us glasses!"
541,64,7,Monica,"No, they gave us glasses with lipstick on them!"
542,64,8,Monica,"I mean, if they didn't change the glasses, who knows what else they didn't change."
543,64,9,Monica,"Come on sweetie, I just want this weekend to be perfect, I mean we can change rooms, can't we?"
544,65,0,Rachel,Okay! I?m ready.
545,65,1,Ross,You sure?
546,65,2,Rachel,"Yes, I?ve done my studying and I really know my stuff."
547,65,3,Ross,All right then.  Rachel Green! Let?s play Bamboozled!  How do you test the temperature of the baby?s bath water?
548,65,4,Rachel,"Uh, put your elbow in it."
549,65,5,Ross,Excellent! How do you put a baby down for a nap?
550,65,6,Rachel,"Full, dry, on its back, and no loose covers."
551,65,7,Ross,"That?s correct! This is an audio question, what do you do when the baby makes this sound?"
552,65,8,Rachel,"Check if it?s wet, check if it?s hungry, burp it!"
553,65,9,Ross,"Excellent! Excellent, now-now do you want another question or a Wicked Wango card?"
554,65,10,Rachel,A card! A card! I pick a card!
555,65,11,Ross,"Oh, I?m sorry you?ve been Bamboozled! You?re gonna be a terrible mother!  I?ve lost sight of why we?re doing this!"
556,66,0,Ross,she came and dragged me out of the labor room to ask me why I?m not with Rachel.
557,66,1,Phoebe,Yeah.  Why aren?t you with Rachel?
558,66,2,Ross,"Are you kidding? Look, we?re not gonna be together just because we?re having a baby. Okay?"
559,66,3,Phoebe,But y?know what? It just seems that you two belong together.
560,66,4,Ross,"Okay, stop it! I can?t deal with this right now. I have to go have a baby."
561,66,5,Phoebe,Right. And with who again?
562,66,6,Joey,God. He?s crazy! Why doesn?t he want to be with Rachel?
563,66,7,Phoebe,I know!
564,66,8,Joey,"I mean seriously, she?s like the perfect woman."
565,66,9,Joey,"I mean I know she turned me down, but if she hadn?t and wanted to be with me, I would take her in my arms and?  I haven?t bummed you guys out like this in a while have I?"
566,67,0,Joey,"Hey! Hey alright! Hey, glad you could make it     Thanks for coming."
567,67,1,Monica,Oh my God! Kyle Lowder!
568,67,2,Kyle Lowder,Hi.
569,67,3,Monica,I love you!
570,67,4,Joey,"Hey, that's why I didn't invite you."
571,67,5,Joey,"you have to calm down, alright...    go, go get yourself a drink or something..."
572,67,6,Monica,Oh yeah that's what you want - my inhibitions lowered.
573,67,7,Phoebe,Hey!
574,67,8,Monica,"Oh my God, can you believe we are surrounded by all    this? I can barely control myself."
575,67,9,Phoebe,"Monica, you might want to remember that you are married. Where"
576,67,10,Monica,Oh my God! Chandler!
577,68,0,Joey,Oh yeah.
578,68,1,Rachel,Ahhhh?.
579,68,2,Joey,Ahhh??  Eh?
580,68,3,Rachel,Uh-huh.
581,68,4,Monica,Hey guys!
582,68,5,Rachel,Hey!
583,68,6,Joey,Hey!
584,68,7,Monica,Do you guys know what happened to Chandler?s barcalounger?
585,68,8,Rachel,"Oh yeah, Joey broke it. Had to get rid of it."
586,68,9,Monica,Are you kidding?! I get a
587,69,0,Monica,Thank you. So what does this Bob guy look like? Is he tall? Short?
588,69,1,Joey,Yep.
589,69,2,Monica,Which?
590,69,3,Monica,What is the big deal?
591,69,4,Chandler,It's weird! In a doctor's office?
592,69,5,Monica,It's not ok to do it in a doctor's office but it is ok to do    it in a parked car behind a Taco Bell?
593,69,6,Chandler,"I cannot believe Ross told you that!     And in my defense, it was a Wendy's!"
594,69,7,Monica,"Look, I don't wanna do this test either, but I really do think    it's a good idea!"
595,69,8,Chandler,"Yeah, ok. I'm sure that doctor's office can't be worst than    on a class trip to the Hershey's factory!"
596,69,9,Monica,OH!
597,69,10,Chandler,"Oh, yeah! RACHEL TALKS TOO!"
598,70,0,Joey,I hate this woman!!
599,70,1,Joey,I hate her!
600,70,2,Joey,"She told everyone in the company about that info-mercial, and now they all keep asking me to open their drinks."
601,70,3,Joey,"Okay, and whenever I can?t do it, they?re all like-like laughing at me."
602,70,4,Ross,Hello.
603,70,5,Chandler and Joey,Hey!
604,70,6,Ross,So Rachel called. Wants to see me. Going over in a minute.
605,70,7,Joey,"Wow, what-what do you think she wants?"
606,70,8,Ross,"Well, maybe the crazy fog has lifted and she realises that life without me.... a-sucks."
607,70,9,Chandler,"It?s possible. You are very loveable, I?d miss you if I broke up with you.  I was just trying to be supportive."
608,70,10,Ross,Then be supportive like a guy.
609,70,11,Chandler,"If I broke up with you, I?d miss you."
610,71,0,Monica,"Okay Phoebe, we should probably go back now."
611,71,1,Phoebe,"Please don't leave me, I'll be lonely."
612,71,2,Monica,Stop it. Stop! Okay let's go. We can be strong.
613,71,3,Phoebe,"Yeah, okay."
614,71,4,Monica,"Oh my god! Did you hear that? She said Monica!  Oooh, I can't leave her!"
615,71,5,Phoebe,"You know if you want, we can sneak the dog back in and Chandler wouldn't even know."
616,71,6,Monica,That's not gonna work.
617,71,7,Phoebe,I've had that dog there for three days and Chandler had no idea. He's not so smart.
618,71,8,Monica,Hey! I didn't know either.
619,71,9,Phoebe,"Yeah, but you kinda knew that something was going on, didn't you?"
620,71,10,Monica,"Yeah, I knew."
621,72,0,Monica,"Hey, guess what I'm doing this weekend! I'm going to this culinary fair in New Jersey."
622,72,1,Phoebe,"Oh weird, Chandler just told us he's got a conference there!"
623,72,2,Monica,"Oh now that-that-that's funny, it seems like Chandler's conference could've been in Connecticut or Vermont."
624,72,3,Chandler,I'm not in charge of where the conference is held.
625,72,4,Chandler,Do you want people to think it's a fake conference?
626,72,5,Chandler,It's a real conference.
627,72,6,Ross,Hey.
628,72,7,Joey,Hey!
629,72,8,Monica,Hey.
630,72,9,Ross,Is Rachel here? I gotta talk to her.
631,72,10,Monica,"No, she's out shopping."
632,73,0,Chandler,"Shhhhhhhhh!!!  I?m sorry, I thought maybe I?d make some warm milk and it would help me sleep."
633,73,1,Monica,With a wok?  I thought you were going to read my boring book to put you asleep.
634,73,2,Chandler,It got interesting! Damn you Oprah!
635,73,3,Monica,"Here, let me make the milk, I?m up anyway."
636,73,4,Chandler,"Hey, y?know what we can do?"
637,73,5,Chandler,"Y?know, now that we are up?"
638,73,6,Chandler,"We can just like talk to each other all night long, y?know like we did when we were first going out."
639,73,7,Chandler,It?d be fun!
640,73,8,Monica,Okay that does sound like fun.
641,73,9,Chandler,"Okay, so how bummed were you when the second sister died huh?"
642,73,10,Monica,The second sister dies?!
643,73,11,Chandler,"No. No, I-I was, I was talking about the book I was reading."
644,73,12,Monica,The second sister dies in
645,73,13,Chandler,That?s correct.
646,74,0,Ross,Look at it this way:
647,74,1,All,Hey!
648,74,2,Joey,You're a lucky man.
649,74,3,Joey,You know what I miss the most about her?
650,74,4,Joey,That cute nibbly noise when she eats.
651,74,5,Joey,"Like a happy little squirrel, or a weasel."
652,74,6,Bob,"Huh, I never really noticed."
653,74,7,Joey,"Oh, yeah, yeah, listen for it."
654,74,8,Bob,"Monica, Monica is great."
655,74,9,Joey,"Yeah, but it's not gonna last. She's too much for me in bed. Sexually."
656,75,0,Chandler,You're shooting with Althea?!
657,75,1,Ross,Althea is correct.
658,75,2,Chandler,Nice shooting!
659,75,3,Rachel,We?ll take Literature!!
660,75,4,Ross,"Every week, the TV Guide comes to Chandler and Joey?s apartment. What name appears on the address label?"
661,75,5,Rachel,Chandler gets it! It?s Chandler Bing!
662,75,6,Monica,No!!
663,75,7,Ross,I?m afraid the TV Guide comes to Chinandolor Bong.
664,75,8,Monica,I knew that! Rachel! Use you?re head!
665,75,9,Chandler,"Actually, it?s Miss Chinandolor Bong."
666,76,0,Monica,Phoebe did the signs!
667,76,1,Rachel,Oh you guys thanks for doing this.
668,76,2,Phoebe,Look at all the stuff people sent!
669,76,3,Rachel,Oh Ah!
670,76,4,Rachel,"Oh my gosh there’s  something every mother needs, a giant stuffed gorilla that takes up the entire  apartment!"
671,76,5,Rachel,What are people think…  Oh you guys I love it.
672,76,6,Joey,Hey so where’s Ross?
673,76,7,Rachel,He’s downstairs getting the rest of the stuff out of the  cab.
674,76,8,Joey,Is he still mad at us?
675,76,9,Rachel,"Well, you more then me, but he can’t stay to mad at me. I  mean, I just had his baby."
676,76,10,Joey,That’s not fair! I can’t do that.
677,76,11,Rachel,"Yeah, I’m not so sure you should be here when he comes up."
678,76,12,Joey,"See this is what I was afraid of, I didn’t think I should be  here either but somebody  said he’d be over it by now."
679,76,13,Chandler,"Hey, what do I know? I wanted to get a bigger gorilla."
680,77,0,Rachel,I cannot believe that you didn?t tell me that we are still married!!
681,77,1,Ross,Look I was going to tell you!
682,77,2,Rachel,When?! After the birth of our first secret child?!  Ross didn?t get the annulment; we are still married.
683,77,3,Chandler,What?
684,77,4,Monica,You?re kidding!
685,77,5,Phoebe,Oh my God!!
686,77,6,Monica,Ross!
687,77,7,Ross,"Okay, maybe it wasn?t my best decision. But I just couldn?t face another failed marriage."
688,77,8,Chandler,"Okay, let me just jump in and ask, at what point did you think this was a successful marriage?"
689,77,9,Ross,"Rach, come on, if you think about it, it?s actually kinda funny.  Okay, maybe it?s best not to think about it."
690,77,10,Phoebe,"Okay,"
691,77,11,Ross,"Phoebe, I told her you already knew."
692,77,12,Phoebe,Another lie. You have a sickness!
693,77,13,Chandler,"Ross, just for my own piece of mind, you?re not married to anymore of us are ya?"
694,78,0,Joshua,"So, these will match the jacket you picked out for me last week?"
695,78,1,Rachel,Um-hmm.  There we go. There it is.
696,78,2,Rachel,Oh yeah? Fine.
697,78,3,Ross,"Hey, y?know, y?know what would make me really happy?"
698,78,4,Rachel,"Oh yeah, no, what?s that?"
699,78,5,Ross,"If like the four of us could all y?know, hang out together."
700,78,6,Ross,"Uh, in fact Emily?s coming into town this weekend, why don?t you say we all have dinner?"
701,78,7,Ross,"Say, Sunday night?"
702,78,8,Rachel,That would be great!
703,78,9,Ross,"Yeah, all right, it?s a date."
704,78,10,Rachel,Hang in there. You hang in there.
705,78,11,Ross,Did you say something?
706,78,12,Rachel,"No, just singing."
707,79,0,Casting Director #1,Whenever you?re ready.
708,79,1,Joey,"Okay. ""Hey, Timmy, I?ve got a surprise for you."""
709,79,2,Casting Director #1,"Hold it. I?m sorry, the surprise is a new swing set, if you could play it a little less?intense?"
710,79,3,Chandler,"Y'know, when you say partner it doesn't sound cop. It, it sounds gay."
711,79,4,Ross,"Umm, jealous!"
712,79,5,Gary,"Hey, do you mind? We're under cover here."
713,79,6,Ross,"Yeah, no problem."
714,79,7,Gary,Ross!
715,79,8,Ross,"Sorry! Sorry! Oh,  there!  Hey Gary, who am I? Phone home!"
716,79,9,Chandler,Look at Officer Ross riding back here with the visitors.
717,79,10,Joey,"Yeah, what's up with that Serpico?"
718,80,0,Monica,"Ooh, candy bars, crossword puzzles"
719,80,1,Phoebe,"Ooh,"
720,80,2,Chandler,Condoms?
721,80,3,Joey,You don't know how long we're gonna be in here!
722,80,4,Chandler,And condoms are the way to do that?
723,80,5,Ross,"Anyway it-it kinda-it all boils down to this, the last time I talked to Emily"
724,80,6,Rachel,Oh my God! My dog died!
725,80,7,Ross,What?!
726,80,8,Rachel,"Oh my God, Le Poo, our dog!"
727,80,9,Ross,Le Poo's still alive?!
728,80,10,Rachel,"Oh God, it says he was hit by an ice cream truck and dragged for nine--teen blocks. Oh.  Oh my God."
729,80,11,Monica,"Sweetie, we heard you crying. Please don't cry."
730,80,12,Rachel,It's Le Poo.
731,80,13,Phoebe,"I know it's le poo right now, but it'll get better."
732,81,0,Ross,So tell me something. What does the phrase 'no date pact' mean to you?
733,81,1,Monica,"I'm sorry, okay. It's just that Chandler has somebody, and Phoebe has somebody- I thought I'd ask Fun Bobby."
734,81,2,Chandler,Fun Bobby? Your ex-boyfriend Fun Bobby?
735,81,3,Monica,Yeah.
736,81,4,Joey,You know more than one Fun Bobby?
737,81,5,Chandler,I happen to know a Fun Bob.
738,81,6,Rachel,"Okay, here we go..."
739,81,7,Joey,"Ooh ooh ooh ooh, there's no room for milk!"
740,81,8,Rachel,There. Now there is.
741,81,9,Carol,All you need is a woman who likes men and you'll be set.
742,81,10,Carol,Not her.
743,82,0,Phoebe,Hey!
744,82,1,Monica,Hey!
745,82,2,Phoebe,"So listen, you know my friend Chris who owns the crematorium?"
746,82,3,Monica,Crematorium Chris? Sure!
747,82,4,Phoebe,"He says, that he would cremate my fur coat for free if I umm, y'know, bring in the next person I know who dies."
748,82,5,Rachel,"Oh my God! Oh my God, look at these pelts!"
749,82,6,Monica,"Don't get too attached, she's having it cremated."
750,82,7,Rachel,What?
751,82,8,Rachel,"Uhh, Phoebe, honey, honey, I know you're quirky and I get a big kick out of it, we all do actually, but if you destroy a coat like this that is like a crime against nature!"
752,82,9,Rachel,"Not nature,"
753,82,10,Phoebe,"This is fashion?!  Okay, so to you,"
754,83,0,Chandler,I?m sorry you?re here with me instead of Roger.
755,83,1,Monica,"Yeah, me too."
756,83,2,Chandler,"Well, I could make it seem like he?s here."
757,83,3,Chandler,"""Here?s some little known facts about cous-cous."
758,83,4,Chandler,"They didn?t add the second cous until 1979."""
759,83,5,Monica,Stop it!! That?s not funny!!
760,83,6,Chandler,Okay.
761,83,7,Chandler,At a fake game!!
762,83,8,Ross,"Now, if you wanna try to make some of it back, I?d be glad to play you for it."
763,83,9,Ross,"But I should warn you, I am"
764,83,10,Chandler,Okay! Now I assume the Saucer card came up when you played last.
765,83,11,Ross,No.
766,83,12,Chandler,"Hmm, let?s see if it comes up this time."
767,84,0,Ross,Electrifying.  Emphatic time-time-time
768,84,1,Monica,"Y'know, there?s a"
769,84,2,Phoebe,It?s so inspired! Look at him! Look at him go!
770,84,3,Ross,Thank you guys-guys-guys
771,84,4,Monica,"Hey, aren?t you up next?"
772,84,5,Phoebe,"Oh no, I?m not playing tonight."
773,84,6,Rachel,Why not?
774,84,7,Phoebe,I can?t follow Ross! It?d be like those bicycle ridding chimps that followed
775,84,8,Monica,"Phoebe, Ross sucks!"
776,84,9,Rachel,"Phoebe, the place has emptied because of him."
777,84,10,Phoebe,"Oh my God, he?s not even appreciated in his own time. I would give anything to not be appreciated in my own time!"
778,84,11,Monica,"Okay. Umm, Phoebe, you suck too."
779,84,12,Rachel,"Yeah, Phoebe you?re? awful!"
780,84,13,Phoebe,You guys. You suck too.
781,85,0,Larry,You look beautiful this evening.
782,85,1,Phoebe,Show me the badge again.
783,85,2,Phoebe,Shiny.
784,85,3,Larry,"Oh, will you mind if I wash up? Because I came straight from work and who knows where these babies  have been."
785,85,4,Phoebe,You are just nonstop!
786,85,5,Larry,We're outta here!
787,85,6,Phoebe,Why?!
788,85,7,Larry,Just walking past the kitchen I saw 10 violations! I'm shutting this place down!
789,85,8,Phoebe,You have the power to do that?
790,85,9,Larry,This does.
791,85,10,Phoebe,Shut it down.
792,86,0,Rachel,"Okay, I need a, I need a drink!"
793,86,1,Ross,"Oh, hey y'know, they-they really overcharge you for that stuff."
794,86,2,Ross,But who cares?!
795,86,3,Ross,Because it's all on me!
796,86,4,Ross,"That is, one big drink!"
797,86,5,Rachel,Macadamia nut?
798,86,6,Ross,Umm? Wow! That's-that's some pricey nut!
799,86,7,Rachel,Hm-mmm!
800,86,8,Ross,"Really like those Macadamia nuts, huh?"
801,86,9,Rachel,Nope!
802,87,0,Rachel,"Joey, Joey I am so sorry."
803,87,1,Joey,I told you not to move it!
804,87,2,Joey,"Rach, how would you feel if say, I wanted to move your mom, and you said don?t, and I did it anyway and her"
805,87,3,Rachel,"Okay, come on?Joey, I?ll buy you a new one!"
806,87,4,Rachel,All right?
807,87,5,Rachel,We?ll go down to the store right now and we?ll-we?ll get you a new chair.
808,87,6,Joey,She?s not even cold yet!
809,87,7,Rachel,"But don?t you think Rosita would?ve wanted you to move on? I mean y?know, she did always put?your comfort first."
810,87,8,Joey,That?s true.
811,87,9,Rachel,Okay? You ready?
812,87,10,Joey,"Yeah, I?  I don?t want Stevie to see her like this."
813,88,0,Phoebe,"Oh no, the Mendels, they hate all living things, right?"
814,88,1,Rachel,Oh.  Hi. We just found this cat and we're looking for the owner.
815,88,2,Mr. Heckles,"Er, yeah, it's mine."
816,88,3,Phoebe,He seems to hate you. Are you sure?
817,88,4,Mr. Heckles,"Yeah, it's my cat. Give me my cat."
818,88,5,Phoebe,Wait a minute. What's his name?
819,88,6,Mr. Heckles,Ehhhh... B-Buttons.
820,88,7,Rachel,Bob Buttons?
821,88,8,Mr. Heckles,"Mmm. Bob Buttons. Here, Bob Buttons."
822,88,9,Phoebe,Oooh! You are a very bad man!
823,88,10,Mr. Heckles,You owe me a cat.
824,89,0,Rachel,"Anastassakis/Papasifakis wedding, excellent!"
825,89,1,Rachel,"{It?s a good thing Jennifer Aniston is Greek, because she had to pronounce those names."
826,89,2,Rachel,"Luckily for me, they were written on a sign.}"
827,89,3,Rachel,Congratulations.
828,89,4,Rachel,Mazel Tov!
829,89,5,Rachel,Hi!
830,89,6,Rachel,"Oh, great hat."
831,89,7,Rachel,"Listen umm, I need you to perform another wedding."
832,89,8,Rachel,Can you do that?
833,89,9,The Rabbi,I don?t know. Are they Greek Orthodox?
834,89,10,Rachel,"Yeah! Yeah. They?re?they?re-they?re my friends, uh, Monica Stephanopolus and uh, and Chandler Acidofolus."
835,90,0,Ross,Y'know what? I'm really not in the mood.
836,90,1,Joey,"Look, Ross, I feel really bad. I mean, you're going through all this stuff and I just acted like a jerk."
837,90,2,Chandler,"Yeah, we are so sorry."
838,90,3,Phoebe,You're kinda stepping on the song.
839,90,4,Joey,"Look, we were"
840,90,5,Monica,"Whatever you decide, whatever you do."
841,90,6,Phoebe,"Okay,"
842,90,7,Ross,"Look, this is hard enough! I really need you guys right now."
843,90,8,Phoebe,Yes! Exactly! And that's why
844,90,9,Monica,Why don't you come over tonight? And I'll make you favorite dinner.
845,90,10,Ross,Okay. Thanks you guys. Pheebs are you wearing fur?
846,90,11,Phoebe,"Okay, let's get some perspective people; it's not like I'm wearing a seeing-eye dog coat!"
847,91,0,Rachel,"Oh my God, I'm starting to look like my great aunt, Muriel."
848,91,1,Ross,All right.
849,91,2,Ross,Y'know what?
850,91,3,Ross,We don?t have to go downstairs!
851,91,4,Ross,We can bring Vegas up to us!
852,91,5,Ross,"All right, come on, come on, we'll play some blackjack."
853,91,6,Ross,Here we go.
854,91,7,Ross,13
855,91,8,Rachel,Hit me!
856,91,9,Ross,"Oohh, 23.  Which is what we play to at this casino! You win 10 dollars!"
857,91,10,Rachel,I bet 20.
858,91,11,Ross,You're right!
859,92,0,Monica,So we can be friends who sleep together.
860,92,1,Richard,"Absolutely, this will just be something we do, like racquetball."
861,92,2,Monica,"Sounds smart and healthy to me. So um, just out of curiosity, um, do you currently have any other racquetball buddies?"
862,92,3,Richard,Just your dad.  Although that?s actually racquetball. You know I-I do have a blind date with my sister?s neighbour next Tuesday.
863,92,4,Monica,Oh.
864,92,5,Richard,You want me to cancel it?
865,92,6,Monica,No!  No!
866,92,7,Richard,Okay.
867,92,8,Monica,"?Cause if you do that means you?d be cancelling it for me, and we?re just friends."
868,92,9,Richard,Exactly.
869,93,0,Rachel,"Okay, here we go."
870,93,1,Rachel,"I'm Jabba's prisoner, and you have a really weird look on your face."
871,93,2,Rachel,What?
872,93,3,Rachel,"Honey, what is it?"
873,93,4,Rachel,Did I get it wrong?
874,93,5,Rachel,Did I get the hair wrong?
875,93,6,Rachel,What?
876,93,7,Rachel,Did you just picture it differently?
877,93,8,Rachel,What?
878,93,9,Rachel,What?
879,93,10,Ross,"No, no it's, um, it's not you, um, it's um, it's"
880,93,11,Ross,"I hate Chandler, the bastard ruined my life."
881,94,0,Joey,"Oooh, what you got there?"
882,94,1,Phoebe,Pastrami.
883,94,2,Joey,"Oh-ho-ho, yeah! Hey! Y?know what goes good with that?"
884,94,3,Phoebe,"Hm-mm, corn beef."
885,94,4,Joey,"Ooh, I was gonna say bologna, but that?s much better. How about a little of that smoked turkey?"
886,94,5,Phoebe,Okay.
887,94,6,Joey,Oh mama! Uh when-when is the baby due?
888,94,7,Phoebe,Six months.
889,94,8,Joey,"Ugh. Now if a cow should die of natural causes, I can have one of those right?"
890,94,9,Phoebe,Not if I get there first.
891,95,0,Monica,Hey! There you are!
892,95,1,Chandler,There I am!
893,95,2,Monica,Are you okay?
894,95,3,Chandler,"Yeah, Joey said I uh, I needed to relax so he gave me an antihistamine."
895,95,4,Monica,What?!
896,95,5,Chandler,"Yeah, and then I fell asleep on the subway and went all the way to Brooklyn. Brooklyn is f-far!!"
897,95,6,Monica,"Chandler, what were you thinking?"
898,95,7,Chandler,"I don?t know, but don?t worry, don?t worry, because I know how to take a picture now."
899,95,8,Chandler,"Okay, see?"
900,95,9,Chandler,"Look down , look down, look down"
901,95,10,Monica,Chandler?
902,95,11,Chandler,Yeah!
903,96,0,Phoebe,Ooh Monica!
904,96,1,Monica,Hi!
905,96,2,Phoebe,Oh my God! I had the
906,96,3,Monica,I?I have to fire him.
907,96,4,Phoebe,But why?!
908,96,5,Monica,"Because he?s terrible! Okay, he?s slow, he burns things, last night he lit my pastry chef on fire!"
909,96,6,Phoebe,"Well maybe he was just nervous, y?know you can be very intimidating."
910,96,7,Phoebe,And besides I?ve met your pastry chef and she can stand to be taken down a peg or two.
911,96,8,Monica,"Well, now she has no eyebrows, mission accomplished."
912,96,9,Phoebe,"But Monica, he loves his job so much! Can you just give him another chance? Please?"
913,96,10,Monica,"All right, but if-if he lights someone else on fire he is out of there!"
914,96,11,Phoebe,"That?s fair! Thank you so much. Thanks. Oops, it looks like when he got the pastry chef he got you a little bit too."
915,96,12,Monica,I paid to have this done.
916,96,13,Phoebe,Love it!
917,97,0,Chandler,OH MY GOD!!!
918,97,1,Joey,WHAT?!!
919,97,2,Chandler,Are you all right?!
920,97,3,Joey,Yeah...
921,97,4,Chandler,What happened?!!
922,97,5,Joey,"Awww, man! He promised he wouldn?t take the chairs!!"
923,97,6,Chandler,What the hell happened?!! How were you locked in?!! And where the hell is all of our stuff?!!
924,97,7,Joey,"Well, this guy came by to look at the unit and-and he said he didn?t think big enough to fit a grown man!"
925,97,8,Chandler,So?You got in
926,97,9,Joey,"I was tryin? to make a sale!! Oh, man, if I ever run into that guy again, do you know what I?m gonna do?"
927,97,10,Chandler,BEND OVER?!!!
928,98,0,Rachel,"Well, we?re a little early, the lecture doesn?t end for 15 minutes."
929,98,1,Monica,"Yeah, but y?know we could sneak in and watch."
930,98,2,Rachel,"Yeah, we could."
931,98,3,Rachel,Oh hey look!
932,98,4,Rachel,There?s some Kappa Kappa Deltas!
933,98,5,Rachel,I was a Kappa.
934,98,6,Rachel,Hey sisters!
935,98,7,Rachel,"Wow, we really are bitches."
936,98,8,Ross,Right!
937,98,9,Ross,So when Rigby got his samples back from the laboratory he made a startling discovery!
938,98,10,Ross,"What he believed to be igneous, was in fact sedimentary."
939,98,11,Ross,Imagine his consternation when? Oh bloody hell.
940,99,0,Chandler,Did she call?
941,99,1,Phoebe,"No, sorry."
942,99,2,Chandler,"All right, maybe I should call her."
943,99,3,Joey,"No! Forget her, man! You don?t need her, you don?t need that!"
944,99,4,Ross,"He?s right, what she did was unforgivable."
945,99,5,Chandler,"Well, yeah, but y'know, what-what if I was wrong?"
946,99,6,Ross,How might you be wrong?
947,99,7,Chandler,"Well y'know, what if she didn?t actually sleep with the guy?"
948,99,8,Joey,"Dude, tell me she actually told you this."
949,99,9,Chandler,"She did not have to tell me, I saw the play, and there was no heat. Back me up here, Ross!"
950,99,10,Ross,That?s all you?re basing this on?
951,99,11,Chandler,"That?s not backing me up! Look, you said with the off-stage and the heat, and the onstage and the oy heat."
952,99,12,Joey,"Whoa-whoa, that-that was just a theory! There?s a lot of theories that didn?t pan out. The lone gunman. Communism. Geometry."
953,99,13,Chandler,Oh my God!!
954,100,0,Richard,"Hey Joey, could you uh, go through these lines with me?"
955,100,1,Melissa,"Hmm Phoebe, were you ever in a sorority?"
956,100,2,Phoebe,"Of course! Yeah, I was uh, umm Thigh Mega Tampon."
957,100,3,Melissa,What one?
958,100,4,Phoebe,"Yeah! Y?know, we were really huge too, but then they had to shut us down when Regina Philange died of alcohol poisoning."
959,100,5,Melissa,"Oh, isn?t a shame when one girl ruins it for the whole bunch?"
960,100,6,Rachel,"Anyway, speaking of drinking too much."
